Date,Apple,FaceBook,IBM,MicroSoft
10/2/2018,229.279999,159.330002,153.75,115.150002
10/3/2018,232.070007,162.429993,153.220001,115.169998
10/4/2018,227.990005,158.850006,151.309998,112.790001
10/5/2018,224.289993,157.330002,149.029999,112.129997
10/8/2018,223.770004,157.25,148.389999,110.849998
10/9/2018,226.869995,157.899994,147.240005,112.260002
10/10/2018,216.360001,151.380005,142.690002,106.160004
10/11/2018,214.449997,153.350006,139.020004,105.910004
10/12/2018,222.110001,153.740005,140.850006,109.57
10/15/2018,217.360001,153.520004,141.130005,107.599998
10/16/2018,222.149994,158.779999,145.119995,111
10/17/2018,221.190002,159.419998,134.050003,110.709999
10/18/2018,216.020004,154.919998,130.550003,108.5
10/19/2018,219.309998,154.050003,129.100006,108.660004
10/22/2018,220.649994,154.779999,130.020004,109.629997
10/23/2018,222.729996,154.389999,131.210007,108.099998
10/24/2018,215.089996,146.039993,127.209999,102.32
10/25/2018,219.800003,150.949997,126.449997,108.300003
10/26/2018,216.300003,145.369995,124.790001,106.959999
10/29/2018,212.240005,142.089996,119.639999,103.849998
10/30/2018,213.300003,146.220001,115.400002,103.730003
10/31/2018,218.860001,151.789993,115.43,106.809998
11/1/2018,222.220001,151.75,116.830002,105.919998
11/2/2018,207.479996,150.350006,115.669998,106.160004
11/5/2018,201.589996,148.679993,120.059998,107.510002
11/6/2018,203.770004,149.940002,123.120003,107.720001
11/7/2018,209.949997,151.529999,124.839996,111.959999
11/8/2018,208.490005,147.869995,123.379997,111.75
11/9/2018,204.470001,144.960007,123.540001,109.57
11/12/2018,194.169998,141.550003,120.900002,106.870003
11/13/2018,192.229996,142.160004,120.839996,106.940002
11/14/2018,186.800003,144.220001,120.199997,104.970001
11/15/2018,191.410004,143.850006,121.440002,107.279999
11/16/2018,193.529999,139.529999,121.57,108.290001
11/19/2018,185.860001,131.550003,120.309998,104.620003
11/20/2018,176.979996,132.429993,117.199997,101.709999
11/21/2018,176.779999,134.820007,118.57,103.110001
11/23/2018,172.289993,131.729996,117.190002,103.07
11/26/2018,174.619995,136.380005,119.559998,106.470001
11/27/2018,174.240005,135,120.029999,107.139999
11/28/2018,180.940002,136.759995,123,111.120003
11/29/2018,179.550003,138.679993,121.480003,110.190002
11/30/2018,178.580002,140.610001,124.269997,110.889999
12/3/2018,184.820007,141.089996,125.309998,112.089996
12/4/2018,176.690002,137.929993,121.599998,108.519997
12/6/2018,174.720001,139.630005,123.910004,109.190002
12/7/2018,168.490005,137.419998,119.339996,104.82
12/10/2018,169.600006,141.850006,121.129997,107.589996
12/11/2018,168.630005,142.080002,120.889999,108.589996
12/12/2018,169.100006,144.5,121.160004,109.080002
12/13/2018,170.949997,145.009995,120.730003,109.449997
12/14/2018,165.479996,144.059998,119.900002,106.029999
12/17/2018,163.940002,140.190002,116.099998,102.889999
12/18/2018,166.070007,143.660004,116.650002,103.970001
12/19/2018,160.889999,133.240005,116.43,103.690002
12/20/2018,156.830002,133.399994,113.019997,101.510002
12/21/2018,150.729996,124.949997,110.940002,98.230003
12/24/2018,146.830002,124.059998,107.57,94.129997
12/26/2018,157.169998,134.179993,111.389999,100.559998
12/27/2018,156.149994,134.520004,113.779999,101.18
12/28/2018,156.229996,133.199997,113.029999,100.389999
12/31/2018,157.740005,131.089996,113.669998,101.57
1/2/2019,157.919998,135.679993,115.209999,101.120003
1/3/2019,142.190002,131.740005,112.910004,97.400002
1/4/2019,148.259995,137.949997,117.32,101.93
1/7/2019,147.929993,138.050003,118.150002,102.059998
1/8/2019,150.75,142.529999,119.830002,102.800003
1/9/2019,153.309998,144.229996,120.690002,104.269997
1/10/2019,153.800003,144.199997,121.790001,103.599998
1/11/2019,152.289993,143.800003,121.459999,102.800003
